"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
1,"Pirates of the Caribbean: At World's End","USA","5381920","BVI",-60,2,550,9785,29280729,"2007-06-03",2007,22,"2007-22"
3,"Spider-Man 3","USA","588041","Sony",-54,5,451,1303,32497245,"2007-06-03",2007,22,"2007-22"
5,"Zodiac","USA","316536","Warner",-49,3,221,1432,2697184,"2007-06-03",2007,22,"2007-22"
7,"Bridge to Terabitha","USA","209062","Icon",-30,5,385,543,4498532,"2007-06-03",2007,22,"2007-22"
8,"28 Weeks Later","UK","186888","20th Century Fox",-66,4,258,724,4938925,"2007-06-03",2007,22,"2007-22"
9,"Mr Bean's Holiday","UK/USA","63959","Universal",-27,10,214,298,22052368,"2007-06-03",2007,22,"2007-22"
10,"Cheeni Cum","Ind","60889","Eros",-49,2,36,1691,275457,"2007-06-03",2007,22,"2007-22"
11,"Jindabyne","Aus","56475","Revolver",-48,2,35,1613,262318,"2007-06-03",2007,22,"2007-22"
13,"The Lives of Others","Ger","39936","Lionsgate",-45,8,27,1479,2242718,"2007-06-03",2007,22,"2007-22"
15,"Meet the Robinsons","USA","37144","BVI",9,10,118,314,4395133,"2007-06-03",2007,22,"2007-22"
19,"This is England","UK","26633","Optimum",-60,6,48,554,1410314,"2007-06-03",2007,22,"2007-22"
20,"Magicians","UK","25404","Universal",-84,3,91,279,861718,"2007-06-03",2007,22,"2007-22"
23,"Joe Strummer: The Future is Unwritten","UK/Ire","12170","Vertigo",-4,3,12,1014,91460,"2007-06-03",2007,22,"2007-22"
33,"Conversations With Other Women","UK/USA","3453","Revelation",-66,3,4,863,56834,"2007-06-03",2007,22,"2007-22"
38,"Sunshine","UK","2247","20th Century Fox",-44,9,11,204,3163317,"2007-06-03",2007,22,"2007-22"
42,"Hot Fuzz","UK","1678","Universal",-31,16,2,839,20984107,"2007-06-03",2007,22,"2007-22"
44,"Amazing Grace","UK/USA","1399","Momentum",-28,11,6,233,2184503,"2007-06-03",2007,22,"2007-22"
48,"Scott Walker: 30 Century Man","UK/USA","995","Verve",-52,6,5,199,24851,"2007-06-03",2007,22,"2007-22"
60,"Fast Food Nation","USA/UK","421","Tartan",-82,5,6,70,52808,"2007-06-03",2007,22,"2007-22"
66,"Miss Potter","UK/USA","55","Momentum",-51,22,2,27,6697315,"2007-06-03",2007,22,"2007-22"
2,"Pirates of the Caribbean: At World's End","USA","2315951","BVI",-57,3,530,4370,33660185,"2007-06-10",2007,23,"2007-23"
4,"Wedding Daze","USA","351114","Pathé",-56,2,346,1015,1550990,"2007-06-10",2007,23,"2007-23"
5,"Spider-Man 3","USA","241672","Sony",-59,6,392,617,33074205,"2007-06-10",2007,23,"2007-23"
6,"Paradise Lost","USA","185361","Lionsgate",-54,2,288,644,834478,"2007-06-10",2007,23,"2007-23"
7,"Zodiac","USA","140545","Warner",-56,4,168,837,3047270,"2007-06-10",2007,23,"2007-23"
8,"The Hitcher","USA","78272","Universal",-64,2,215,364,438178,"2007-06-10",2007,23,"2007-23"
9,"28 Weeks Later","UK","74444","20th Century Fox",-60,5,133,560,5159129,"2007-06-10",2007,23,"2007-23"
10,"Bridge to Terabitha","USA","62372","Icon",-70,6,355,176,4619591,"2007-06-10",2007,23,"2007-23"
11,"Cheeni Cum","Ind","35911","Eros",-41,3,34,1056,342825,"2007-06-10",2007,23,"2007-23"
12,"Jindabyne","Aus","34024","Revolver",-40,3,32,1063,342584,"2007-06-10",2007,23,"2007-23"
13,"The Lives of Others","Ger","31611","Lionsgate",-21,9,32,988,2317351,"2007-06-10",2007,23,"2007-23"
14,"Fool n Final","Ind","26907","Tip Top",-46,2,19,1416,106373,"2007-06-10",2007,23,"2007-23"
17,"Mr Bean's Holiday","UK/USA","15144","Universal",-76,11,136,111,22080192,"2007-06-10",2007,23,"2007-23"
19,"This is England","UK","14049","Optimum",-47,7,30,468,1446991,"2007-06-10",2007,23,"2007-23"
23,"Joe Strummer: The Future is Unwritten","UK/Ire","11632","Vertigo",-4,4,11,1057,114897,"2007-06-10",2007,23,"2007-23"
32,"Magicians","UK","3766","Universal",-85,4,19,198,885174,"2007-06-10",2007,23,"2007-23"
37,"Amazing Grace","UK/USA","2413","Momentum",73,12,4,603,2189426,"2007-06-10",2007,23,"2007-23"
38,"Sunshine","UK","2301","20th Century Fox",2,10,12,192,3167791,"2007-06-10",2007,23,"2007-23"
39,"Conversations With Other Women","UK/USA","1897","Revelation",-45,4,2,949,61704,"2007-06-10",2007,23,"2007-23"
41,"Hot Fuzz","UK","1669","Universal",0,17,3,556,20987861,"2007-06-10",2007,23,"2007-23"
49,"Scott Walker: 30 Century Man","UK/USA","1045","Verve",5,7,2,523,26386,"2007-06-10",2007,23,"2007-23"
55,"Fast Food Nation","USA/UK","437","Tartan",4,6,2,219,54922,"2007-06-10",2007,23,"2007-23"
57,"Distant Voices, Still Lives (Re)","UK","431","BFI",-33,8,1,431,18546,"2007-06-10",2007,23,"2007-23"
65,"Miss Potter","UK/USA","44","Momentum",-20,23,2,22,6697548,"2007-06-10",2007,23,"2007-23"
2,"Ocean's Thirteen","USA","2184104","Warner",-28,2,482,4531,7042069,"2007-06-17",2007,24,"2007-24"
3,"Pirates of the Caribbean: At World's End","USA","1613764","BVI",-30,4,458,3523,36339948,"2007-06-17",2007,24,"2007-24"
5,"Are We Done Yet?","USA","344493","Sony",-18,2,277,1243,915855,"2007-06-17",2007,24,"2007-24"
7,"Wedding Daze","USA","209605","Pathé",-40,3,304,689,2003915,"2007-06-17",2007,24,"2007-24"
10,"Spider-Man 3","USA","151743","Sony",-37,7,320,474,33354845,"2007-06-17",2007,24,"2007-24"
11,"Zodiac","USA","118515","Warner",-16,5,130,911,3288925,"2007-06-17",2007,24,"2007-24"
12,"Paradise Lost","USA","58250","Lionsgate",-69,3,154,378,1035393,"2007-06-17",2007,24,"2007-24"
13,"Bridge to Terabitha","USA","42083","Icon",-33,7,246,171,4682915,"2007-06-17",2007,24,"2007-24"
14,"28 Weeks Later","UK","28942","20th Century Fox",-61,6,61,474,5246454,"2007-06-17",2007,24,"2007-24"
15,"The Lives of Others","Ger","28068","Lionsgate",-11,10,25,1122,2376841,"2007-06-17",2007,24,"2007-24"
21,"This is England","UK","12447","Optimum",-11,8,21,592,1476498,"2007-06-17",2007,24,"2007-24"
23,"Mr Bean's Holiday","UK/USA","11527","Universal",-24,12,64,180,22095528,"2007-06-17",2007,24,"2007-24"
29,"Taking Liberties","UK","7617","Revolver",-64,2,16,476,43597,"2007-06-17",2007,24,"2007-24"
30,"Joe Strummer: The Future is Unwritten","UK/Ire","5118","Vertigo",-56,5,6,853,131051,"2007-06-17",2007,24,"2007-24"
34,"Black Gold","UK/USA","3333","Dogwoof Pictures",-50,2,8,416,16571,"2007-06-17",2007,24,"2007-24"
45,"Scott Walker: 30 Century Man","UK/USA","1672","Verve",60,8,3,557,29144,"2007-06-17",2007,24,"2007-24"
47,"Sunshine","UK","1302","20th Century Fox",-43,11,7,186,3171864,"2007-06-17",2007,24,"2007-24"
48,"Amazing Grace","UK/USA","782","Momentum",-68,13,3,260,2196667,"2007-06-17",2007,24,"2007-24"
51,"Fast Food Nation","USA/UK","645","Tartan",48,7,4,161,57292,"2007-06-17",2007,24,"2007-24"
